Country,Year,Food Types, Total Waste in Tons , Food Economic Loss (Million $) , Avg Waste per Capita (Kg) , Country Population (Million) (Not Accurate) , Household Waste (%) ,Cluster
Turkey,2019,Beverages,33532.0,35387.0,116.0, 315 ,64.0,1
Germany,2018,Beverages,1167.0,1326.0,123.0," 1,231 ",62.0,0
Russia,2018,Frozen Food,10413.0,9670.0,125.0, 677 ,59.0,0
India,2018,Prepared Food,30280.0,32350.0,154.0, 549 ,54.0,1
France,2022,Fruits & Vegetables,29036.0,32125.0,22.0, 769 ,40.0,1
India,2018,Frozen Food,1560.0,1255.0,146.0, 47 ,57.0,0
USA,2019,Prepared Food,19561.0,19957.0,152.0," 1,029 ",44.0,0
Italy,2020,Prepared Food,1934.0,1576.0,105.0," 1,187 ",31.0,0
Germany,2021,Beverages,49658.0,58328.0,57.0," 1,115 ",61.0,1
India,2022,Bakery Items,49278.0,41077.0,72.0, 340 ,56.0,1
China,2018,Meat & Seafood,7904.0,7073.0,156.0, 228 ,42.0,0
Indonesia,2018,Grains & Cereals,32891.0,33497.0,65.0, 441 ,51.0,1
India,2022,Beverages,8007.0,9495.0,104.0, 110 ,58.0,0
Canada,2024,Bakery Items,16496.0,17457.0,49.0, 843 ,54.0,0
Japan,2024,Beverages,49655.0,56043.0,88.0, 921 ,31.0,1
France,2024,Dairy Products,24035.0,22397.0,113.0, 23 ,48.0,0
South Africa,2024,Frozen Food,22628.0,26112.0,101.0," 1,286 ",48.0,0
Argentina,2021,Prepared Food,26617.0,29614.0,76.0, 791 ,55.0,1
France,2019,Fruits & Vegetables,34062.0,28634.0,25.0, 502 ,31.0,1
South Korea,2020,Grains & Cereals,3248.0,2857.0,137.0, 901 ,47.0,0
Japan,2024,Frozen Food,45137.0,50354.0,98.0, 197 ,61.0,1
Spain,2020,Frozen Food,11324.0,12672.0,189.0," 1,119 ",68.0,0
Saudi Arabia,2024,Grains & Cereals,28351.0,23792.0,60.0, 168 ,68.0,1
China,2019,Meat & Seafood,49187.0,55453.0,175.0, 235 ,45.0,1
Russia,2020,Dairy Products,17377.0,18152.0,62.0, 293 ,31.0,0
Indonesia,2023,Beverages,29048.0,28857.0,171.0," 1,357 ",37.0,1
India,2022,Meat & Seafood,45503.0,36841.0,166.0, 498 ,49.0,1
USA,2023,Meat & Seafood,49989.0,52759.0,68.0," 1,059 ",35.0,1
Russia,2024,Beverages,21131.0,20784.0,188.0, 445 ,64.0,0
France,2021,Prepared Food,43822.0,37561.0,46.0," 1,240 ",70.0,1
Indonesia,2019,Prepared Food,17253.0,17206.0,113.0," 1,357 ",52.0,0
Saudi Arabia,2023,Fruits & Vegetables,15727.0,17797.0,172.0," 1,044 ",60.0,0
China,2024,Dairy Products,16318.0,18756.0,122.0, 221 ,32.0,0
South Korea,2019,Bakery Items,12450.0,13846.0,120.0, 450 ,32.0,0
Indonesia,2024,Grains & Cereals,29252.0,23593.0,115.0, 575 ,63.0,1
USA,2023,Beverages,11414.0,10952.0,29.0," 1,283 ",43.0,0
Japan,2021,Frozen Food,4236.0,4332.0,21.0, 95 ,67.0,0
China,2020,Beverages,4278.0,4869.0,40.0, 123 ,69.0,0
South Korea,2022,Prepared Food,779.0,888.0,76.0, 527 ,70.0,0
Italy,2022,Grains & Cereals,35558.0,40006.0,102.0, 629 ,36.0,1
France,2022,Bakery Items,18048.0,19247.0,25.0," 1,242 ",41.0,0
Indonesia,2021,Beverages,32676.0,26928.0,129.0," 1,205 ",33.0,1
Japan,2024,Prepared Food,31801.0,26062.0,187.0, 168 ,61.0,1
Japan,2019,Prepared Food,7314.0,6494.0,165.0," 1,314 ",41.0,0
China,2022,Bakery Items,26895.0,27477.0,112.0," 1,165 ",54.0,1
South Africa,2024,Fruits & Vegetables,28859.0,24786.0,101.0," 1,002 ",48.0,1
South Africa,2018,Fruits & Vegetables,30612.0,27579.0,61.0, 105 ,40.0,1
Brazil,2019,Fruits & Vegetables,34348.0,34043.0,177.0, 662 ,57.0,1
Italy,2022,Bakery Items,4785.0,4530.0,78.0," 1,008 ",44.0,0
Russia,2024,Meat & Seafood,15316.0,13959.0,33.0, 545 ,46.0,0
Germany,2022,Fruits & Vegetables,4027.0,4162.0,39.0," 1,104 ",54.0,0
Indonesia,2021,Beverages,46712.0,52263.0,64.0, 372 ,41.0,1
France,2021,Meat & Seafood,43751.0,44632.0,89.0," 1,051 ",67.0,1
India,2020,Dairy Products,20767.0,23063.0,112.0, 649 ,30.0,0
Argentina,2020,Meat & Seafood,36349.0,36244.0,132.0, 818 ,36.0,1
Italy,2019,Bakery Items,22786.0,24963.0,108.0, 892 ,55.0,0
USA,2018,Grains & Cereals,8234.0,6787.0,177.0, 570 ,67.0,0
USA,2024,Fruits & Vegetables,29599.0,24192.0,94.0, 625 ,52.0,1
Mexico,2022,Dairy Products,45255.0,52762.0,113.0," 1,316 ",67.0,1
UK,2024,Beverages,47680.0,47792.0,24.0," 1,335 ",43.0,1
Turkey,2022,Grains & Cereals,34984.0,37744.0,96.0, 612 ,33.0,1
France,2023,Meat & Seafood,25448.0,22963.0,182.0," 1,084 ",46.0,0
Canada,2021,Dairy Products,23915.0,23637.0,159.0," 1,363 ",50.0,0
Italy,2020,Meat & Seafood,39358.0,45101.0,129.0, 138 ,63.0,1
Spain,2020,Grains & Cereals,24796.0,23565.0,172.0," 1,047 ",30.0,0
Mexico,2020,Frozen Food,39255.0,46984.0,115.0, 488 ,43.0,1
Argentina,2022,Dairy Products,38142.0,37377.0,81.0," 1,046 ",60.0,1
Brazil,2018,Grains & Cereals,28752.0,24424.0,138.0, 522 ,66.0,1
South Korea,2019,Bakery Items,12616.0,12983.0,140.0," 1,218 ",47.0,0
USA,2024,Beverages,46686.0,49179.0,38.0, 293 ,69.0,1
India,2023,Grains & Cereals,33660.0,27990.0,72.0, 391 ,63.0,1
Russia,2020,Beverages,29909.0,26294.0,111.0, 185 ,66.0,1
Mexico,2018,Meat & Seafood,34413.0,32544.0,183.0," 1,379 ",58.0,1
Russia,2019,Beverages,8681.0,10404.0,85.0, 908 ,53.0,0
China,2023,Prepared Food,48008.0,50204.0,52.0, 229 ,43.0,1
Brazil,2018,Frozen Food,3563.0,3019.0,174.0, 331 ,33.0,0
South Korea,2018,Prepared Food,10118.0,9316.0,148.0," 1,218 ",69.0,0
Turkey,2018,Grains & Cereals,30970.0,26872.0,182.0, 309 ,34.0,1
Mexico,2019,Beverages,11245.0,12817.0,190.0, 212 ,31.0,0
Germany,2021,Dairy Products,21774.0,22089.0,160.0," 1,007 ",40.0,0
Spain,2020,Fruits & Vegetables,2985.0,3564.0,50.0, 223 ,57.0,0
Japan,2023,Beverages,23394.0,22134.0,122.0, 367 ,60.0,0
China,2020,Fruits & Vegetables,21768.0,24560.0,120.0," 1,150 ",52.0,0
USA,2019,Fruits & Vegetables,14115.0,12634.0,76.0," 1,020 ",63.0,0
Indonesia,2024,Bakery Items,39720.0,32794.0,80.0, 70 ,58.0,1
Brazil,2023,Fruits & Vegetables,10080.0,11226.0,24.0, 347 ,62.0,0
Spain,2024,Prepared Food,26771.0,31303.0,143.0," 1,321 ",63.0,1
Canada,2024,Dairy Products,18680.0,17281.0,33.0, 864 ,65.0,0
China,2021,Dairy Products,44898.0,41346.0,194.0, 640 ,56.0,1
Indonesia,2019,Beverages,44905.0,50060.0,121.0, 190 ,32.0,1
South Africa,2023,Frozen Food,13719.0,13663.0,193.0, 843 ,54.0,0
South Korea,2020,Prepared Food,22430.0,24305.0,131.0," 1,282 ",41.0,0
Russia,2023,Prepared Food,36196.0,35330.0,166.0," 1,102 ",46.0,1
Turkey,2024,Dairy Products,10187.0,9369.0,89.0, 849 ,54.0,0
Italy,2023,Meat & Seafood,42665.0,36255.0,154.0," 1,173 ",45.0,1
Italy,2024,Grains & Cereals,8174.0,9681.0,115.0," 1,173 ",31.0,0
USA,2018,Fruits & Vegetables,1922.0,1993.0,149.0," 1,176 ",42.0,0
Germany,2018,Fruits & Vegetables,32163.0,36128.0,157.0, 113 ,64.0,1
Argentina,2020,Grains & Cereals,934.0,910.0,119.0," 1,365 ",62.0,0
Spain,2021,Meat & Seafood,27163.0,28086.0,39.0, 349 ,37.0,1
Spain,2024,Frozen Food,49613.0,46844.0,27.0," 1,153 ",65.0,1
Indonesia,2018,Bakery Items,26859.0,29195.0,25.0, 360 ,68.0,1
South Korea,2021,Frozen Food,22320.0,20365.0,55.0," 1,067 ",52.0,0
South Africa,2019,Beverages,43418.0,41362.0,31.0, 933 ,39.0,1
China,2020,Dairy Products,45781.0,37679.0,187.0, 699 ,59.0,1
Mexico,2021,Grains & Cereals,9734.0,8780.0,109.0, 58 ,38.0,0
UK,2018,Bakery Items,43244.0,49944.0,75.0, 363 ,31.0,1
Spain,2024,Frozen Food,44566.0,47756.0,73.0," 1,054 ",36.0,1
France,2021,Fruits & Vegetables,25913.0,23195.0,38.0, 335 ,61.0,0
India,2020,Grains & Cereals,2481.0,2686.0,112.0, 943 ,47.0,0
Canada,2019,Meat & Seafood,42436.0,40887.0,78.0, 721 ,55.0,1
India,2022,Meat & Seafood,25570.0,25135.0,169.0, 548 ,42.0,1
Mexico,2020,Prepared Food,7256.0,6462.0,200.0," 1,073 ",57.0,0
Indonesia,2023,Beverages,32493.0,35981.0,160.0, 622 ,36.0,1
Saudi Arabia,2018,Meat & Seafood,27105.0,31851.0,75.0, 477 ,66.0,1
South Africa,2022,Prepared Food,30807.0,32698.0,40.0, 162 ,42.0,1
Australia,2022,Meat & Seafood,21557.0,17602.0,114.0," 1,307 ",58.0,0
Australia,2021,Meat & Seafood,8917.0,9679.0,80.0, 246 ,43.0,0
South Africa,2020,Frozen Food,6310.0,5512.0,172.0, 553 ,36.0,0
Argentina,2019,Fruits & Vegetables,28520.0,33025.0,42.0, 225 ,63.0,1
UK,2023,Frozen Food,17990.0,17024.0,180.0, 16 ,48.0,0
Australia,2024,Prepared Food,25202.0,29278.0,177.0, 668 ,65.0,1
Spain,2020,Beverages,29670.0,33306.0,100.0, 186 ,66.0,1
UK,2023,Bakery Items,7147.0,5760.0,194.0, 879 ,64.0,0
Brazil,2019,Beverages,34055.0,38609.0,179.0, 371 ,58.0,1
Russia,2019,Grains & Cereals,7186.0,7265.0,77.0, 263 ,54.0,0
Russia,2018,Frozen Food,48859.0,56724.0,187.0," 1,137 ",40.0,1
UK,2023,Dairy Products,35346.0,35164.0,90.0," 1,377 ",38.0,1
France,2018,Dairy Products,10007.0,9219.0,161.0, 649 ,61.0,0
Spain,2021,Beverages,29697.0,30150.0,82.0, 502 ,67.0,1
Mexico,2022,Prepared Food,6200.0,5527.0,137.0, 143 ,41.0,0
Saudi Arabia,2022,Fruits & Vegetables,16504.0,19657.0,95.0, 399 ,48.0,0
Argentina,2021,Dairy Products,2844.0,2455.0,147.0, 320 ,70.0,0
Spain,2020,Frozen Food,48692.0,57589.0,185.0, 883 ,68.0,1
Italy,2020,Meat & Seafood,33632.0,36003.0,113.0, 120 ,69.0,1
Brazil,2024,Beverages,46186.0,39504.0,107.0, 355 ,41.0,1
Turkey,2018,Frozen Food,21067.0,24308.0,96.0, 529 ,52.0,0
Canada,2021,Grains & Cereals,2675.0,2300.0,188.0, 203 ,68.0,0
France,2019,Grains & Cereals,27982.0,32085.0,179.0," 1,146 ",66.0,1
South Korea,2021,Dairy Products,33624.0,33512.0,174.0," 1,154 ",66.0,1
Germany,2021,Dairy Products,24942.0,20249.0,159.0, 934 ,53.0,0
Australia,2021,Beverages,12405.0,13142.0,59.0," 1,240 ",42.0,0
Turkey,2019,Dairy Products,45238.0,49190.0,34.0, 227 ,45.0,1
Argentina,2023,Beverages,20826.0,20816.0,136.0, 989 ,32.0,0
Brazil,2021,Frozen Food,8944.0,9405.0,49.0, 372 ,36.0,0
Germany,2019,Grains & Cereals,32296.0,37517.0,57.0, 944 ,31.0,1
France,2018,Beverages,48064.0,39294.0,87.0," 1,376 ",50.0,1
Germany,2021,Dairy Products,33110.0,32145.0,58.0, 861 ,67.0,1
Canada,2018,Beverages,6120.0,5374.0,84.0, 135 ,42.0,0
Indonesia,2023,Dairy Products,35731.0,35464.0,57.0," 1,027 ",69.0,1
South Africa,2019,Grains & Cereals,23127.0,21575.0,30.0, 670 ,50.0,0
Russia,2019,Grains & Cereals,7977.0,9115.0,30.0, 921 ,40.0,0
China,2024,Frozen Food,27479.0,26256.0,114.0," 1,205 ",32.0,1
France,2023,Prepared Food,8867.0,9232.0,29.0, 138 ,61.0,0
Russia,2024,Dairy Products,18881.0,15729.0,193.0, 716 ,58.0,0
Brazil,2021,Grains & Cereals,10520.0,11552.0,87.0," 1,290 ",41.0,0
Russia,2022,Prepared Food,31479.0,31547.0,150.0," 1,005 ",68.0,1
Germany,2024,Bakery Items,24173.0,26831.0,149.0," 1,129 ",46.0,1
Spain,2020,Meat & Seafood,40293.0,33000.0,157.0, 92 ,52.0,1
Russia,2019,Prepared Food,36788.0,31171.0,174.0," 1,072 ",40.0,1
Indonesia,2020,Fruits & Vegetables,31399.0,29430.0,185.0," 1,186 ",36.0,1
Saudi Arabia,2024,Dairy Products,12251.0,14096.0,167.0, 279 ,32.0,0
India,2020,Prepared Food,47407.0,53492.0,72.0," 1,360 ",57.0,1
Spain,2021,Prepared Food,10710.0,10416.0,95.0," 1,374 ",59.0,0
Mexico,2021,Grains & Cereals,34106.0,30802.0,120.0, 660 ,35.0,1
France,2022,Meat & Seafood,24036.0,24015.0,64.0, 273 ,53.0,0
Brazil,2023,Prepared Food,10508.0,12067.0,24.0, 349 ,41.0,0
Mexico,2024,Dairy Products,35501.0,37451.0,113.0, 839 ,36.0,1
India,2023,Meat & Seafood,31682.0,34419.0,125.0, 516 ,67.0,1
Germany,2019,Prepared Food,18780.0,17208.0,175.0, 708 ,42.0,0
Mexico,2024,Meat & Seafood,28795.0,30722.0,28.0," 1,106 ",47.0,1
Italy,2018,Grains & Cereals,6350.0,7016.0,37.0, 34 ,33.0,0
South Korea,2020,Beverages,49280.0,44077.0,70.0, 251 ,66.0,1
India,2019,Beverages,16913.0,16797.0,184.0, 286 ,44.0,0
France,2023,Frozen Food,49544.0,53191.0,23.0, 791 ,65.0,1
South Korea,2024,Bakery Items,6165.0,6301.0,141.0," 1,347 ",54.0,0
Japan,2023,Prepared Food,17584.0,14602.0,83.0, 686 ,45.0,0
South Korea,2024,Dairy Products,39583.0,43098.0,113.0, 991 ,64.0,1
USA,2024,Meat & Seafood,19152.0,15680.0,136.0, 180 ,48.0,0
South Africa,2020,Bakery Items,24305.0,24948.0,123.0, 132 ,41.0,0
Japan,2023,Bakery Items,43550.0,39176.0,122.0," 1,111 ",38.0,1
USA,2021,Bakery Items,18753.0,18158.0,34.0, 687 ,35.0,0
Russia,2022,Dairy Products,39057.0,46471.0,95.0," 1,293 ",65.0,1
Argentina,2019,Grains & Cereals,13213.0,14762.0,85.0," 1,128 ",36.0,0
Indonesia,2022,Grains & Cereals,12214.0,12613.0,70.0, 394 ,36.0,0
France,2024,Meat & Seafood,19377.0,21241.0,43.0, 625 ,33.0,0
Argentina,2024,Frozen Food,28618.0,32690.0,167.0, 957 ,60.0,1
Mexico,2021,Prepared Food,24850.0,27044.0,133.0, 882 ,32.0,1
France,2019,Grains & Cereals,37869.0,35912.0,110.0, 345 ,30.0,1
UK,2018,Prepared Food,16509.0,17573.0,24.0, 893 ,62.0,0
Australia,2018,Dairy Products,31984.0,26673.0,190.0, 952 ,57.0,1
Mexico,2020,Grains & Cereals,41944.0,44102.0,198.0," 1,039 ",64.0,1
India,2018,Bakery Items,27318.0,27417.0,97.0, 168 ,70.0,1
France,2021,Fruits & Vegetables,16273.0,13871.0,68.0, 835 ,48.0,0
Spain,2019,Prepared Food,18166.0,20967.0,118.0, 720 ,48.0,0
China,2018,Dairy Products,49652.0,45494.0,128.0, 540 ,57.0,1
South Africa,2021,Prepared Food,25968.0,28646.0,122.0, 955 ,33.0,1
Spain,2022,Bakery Items,4975.0,4138.0,69.0, 234 ,30.0,0
UK,2023,Bakery Items,16277.0,16704.0,184.0," 1,012 ",55.0,0
India,2020,Beverages,39838.0,40365.0,124.0," 1,347 ",37.0,1
India,2024,Prepared Food,16319.0,16601.0,155.0, 124 ,70.0,0
India,2024,Bakery Items,13491.0,10997.0,48.0, 46 ,42.0,0
Russia,2018,Beverages,11960.0,13749.0,110.0, 878 ,37.0,0
China,2024,Dairy Products,9885.0,10090.0,194.0, 156 ,34.0,0
Turkey,2019,Bakery Items,8716.0,9645.0,73.0, 180 ,66.0,0
Italy,2020,Grains & Cereals,22752.0,25814.0,112.0, 511 ,42.0,0
South Africa,2022,Grains & Cereals,37859.0,34972.0,78.0, 486 ,65.0,1
Turkey,2022,Grains & Cereals,29974.0,32496.0,65.0," 1,101 ",61.0,1
South Africa,2023,Grains & Cereals,20302.0,20224.0,185.0, 232 ,41.0,0
UK,2022,Frozen Food,49338.0,42935.0,104.0, 483 ,32.0,1
Italy,2023,Bakery Items,47373.0,55692.0,129.0," 1,101 ",45.0,1
USA,2019,Bakery Items,41505.0,33845.0,112.0, 280 ,67.0,1
South Africa,2018,Beverages,45114.0,44710.0,189.0, 320 ,64.0,1
Turkey,2022,Beverages,3762.0,3618.0,27.0, 996 ,40.0,0
UK,2021,Dairy Products,5892.0,4807.0,191.0, 290 ,32.0,0
Argentina,2018,Frozen Food,35181.0,38177.0,180.0," 1,180 ",51.0,1
Germany,2023,Beverages,21341.0,18788.0,121.0," 1,204 ",44.0,0
USA,2019,Frozen Food,34377.0,29072.0,140.0, 984 ,59.0,1
South Africa,2019,Grains & Cereals,11917.0,13349.0,62.0, 929 ,44.0,0
South Korea,2024,Meat & Seafood,6094.0,6039.0,81.0," 1,341 ",31.0,0
Italy,2021,Fruits & Vegetables,45816.0,37369.0,121.0, 837 ,61.0,1
South Korea,2024,Prepared Food,35197.0,41711.0,40.0," 1,186 ",56.0,1
Indonesia,2019,Fruits & Vegetables,15083.0,15798.0,102.0," 1,212 ",49.0,0
France,2022,Meat & Seafood,21473.0,19444.0,80.0," 1,222 ",54.0,0
Germany,2023,Fruits & Vegetables,32504.0,30432.0,67.0," 1,350 ",33.0,1
China,2023,Bakery Items,12728.0,11221.0,131.0, 459 ,56.0,0
USA,2023,Bakery Items,26306.0,30688.0,128.0," 1,091 ",51.0,1
China,2018,Grains & Cereals,20388.0,17369.0,196.0, 904 ,61.0,0
India,2021,Beverages,28905.0,30931.0,108.0, 760 ,66.0,1
South Korea,2021,Dairy Products,40315.0,36360.0,142.0, 784 ,48.0,1
USA,2023,Meat & Seafood,28763.0,23387.0,77.0, 769 ,38.0,1
Indonesia,2021,Fruits & Vegetables,15460.0,13648.0,141.0, 206 ,32.0,0
Brazil,2022,Dairy Products,14490.0,13756.0,142.0, 282 ,40.0,0
Mexico,2024,Prepared Food,39063.0,37034.0,51.0, 264 ,62.0,1
USA,2018,Frozen Food,5427.0,4560.0,94.0, 191 ,59.0,0
USA,2023,Beverages,16197.0,17596.0,117.0, 507 ,59.0,0
South Korea,2019,Prepared Food,17168.0,16328.0,192.0," 1,356 ",55.0,0
Russia,2022,Prepared Food,37845.0,39815.0,131.0, 20 ,30.0,1
Saudi Arabia,2024,Dairy Products,39141.0,46409.0,103.0," 1,301 ",63.0,1
France,2018,Prepared Food,21877.0,22063.0,192.0, 900 ,42.0,0
Canada,2018,Frozen Food,14020.0,16744.0,135.0," 1,251 ",37.0,0
Brazil,2023,Prepared Food,25835.0,24080.0,167.0, 75 ,56.0,0
USA,2023,Beverages,40308.0,39763.0,130.0," 1,150 ",48.0,1
France,2023,Meat & Seafood,17364.0,20059.0,104.0," 1,356 ",51.0,0
South Africa,2021,Fruits & Vegetables,40700.0,42273.0,162.0, 501 ,68.0,1
Turkey,2018,Prepared Food,27946.0,23797.0,160.0," 1,155 ",65.0,1
France,2020,Meat & Seafood,18719.0,19007.0,44.0, 327 ,33.0,0
India,2019,Meat & Seafood,30726.0,33026.0,185.0, 939 ,67.0,1
USA,2018,Prepared Food,40760.0,41850.0,178.0, 155 ,36.0,1
Brazil,2022,Dairy Products,14118.0,12597.0,160.0, 406 ,44.0,0
India,2024,Frozen Food,12983.0,13914.0,130.0, 570 ,57.0,0
Brazil,2024,Prepared Food,29507.0,30626.0,89.0, 601 ,56.0,1
Argentina,2019,Bakery Items,46860.0,47913.0,147.0, 714 ,33.0,1
USA,2024,Grains & Cereals,1901.0,2240.0,43.0, 454 ,51.0,0
Australia,2022,Fruits & Vegetables,18067.0,16204.0,185.0, 281 ,34.0,0
UK,2023,Beverages,10675.0,10306.0,89.0, 78 ,54.0,0
Australia,2023,Bakery Items,19243.0,19706.0,75.0," 1,022 ",67.0,0
South Africa,2020,Dairy Products,40875.0,48277.0,62.0, 335 ,39.0,1
China,2018,Prepared Food,37737.0,33975.0,128.0," 1,241 ",54.0,1
Japan,2020,Dairy Products,25834.0,29660.0,88.0, 324 ,40.0,1
China,2023,Fruits & Vegetables,29295.0,24528.0,91.0," 1,391 ",34.0,1
Spain,2023,Fruits & Vegetables,49991.0,42802.0,32.0, 105 ,52.0,1
Brazil,2021,Beverages,25922.0,29082.0,35.0," 1,379 ",34.0,1
Italy,2024,Grains & Cereals,28002.0,22591.0,50.0, 604 ,54.0,0
UK,2020,Meat & Seafood,41775.0,47767.0,69.0, 662 ,59.0,1
France,2018,Bakery Items,7295.0,5873.0,152.0, 80 ,43.0,0
USA,2019,Meat & Seafood,42159.0,36467.0,159.0, 634 ,60.0,1
Brazil,2019,Bakery Items,33836.0,33240.0,32.0, 697 ,60.0,1
France,2020,Fruits & Vegetables,10063.0,9143.0,128.0, 257 ,46.0,0
Russia,2024,Bakery Items,3942.0,3891.0,150.0, 61 ,31.0,0
Turkey,2024,Meat & Seafood,41534.0,36356.0,62.0," 1,280 ",59.0,1
Argentina,2024,Fruits & Vegetables,40044.0,35716.0,112.0, 130 ,41.0,1
Indonesia,2020,Frozen Food,27026.0,24436.0,191.0, 101 ,45.0,1
Turkey,2024,Beverages,18885.0,19560.0,115.0, 295 ,35.0,0
Mexico,2022,Prepared Food,15313.0,13090.0,29.0, 993 ,50.0,0
China,2023,Meat & Seafood,34013.0,31826.0,71.0, 542 ,36.0,1
Russia,2024,Grains & Cereals,42466.0,40712.0,63.0, 672 ,55.0,1
USA,2022,Dairy Products,12612.0,13049.0,137.0, 639 ,43.0,0
China,2020,Bakery Items,30583.0,29572.0,185.0, 605 ,35.0,1
France,2021,Prepared Food,32118.0,31259.0,148.0, 855 ,55.0,1
Argentina,2018,Prepared Food,37422.0,36503.0,184.0," 1,236 ",55.0,1
India,2020,Fruits & Vegetables,8610.0,9939.0,156.0," 1,185 ",67.0,0
Argentina,2018,Grains & Cereals,9304.0,9592.0,73.0," 1,285 ",60.0,0
Canada,2022,Bakery Items,17392.0,16127.0,114.0, 222 ,49.0,0
South Africa,2024,Meat & Seafood,20928.0,24656.0,185.0, 714 ,52.0,0
Italy,2024,Dairy Products,39133.0,40212.0,90.0, 263 ,61.0,1
Turkey,2018,Meat & Seafood,24565.0,29283.0,71.0, 392 ,64.0,1
Japan,2022,Grains & Cereals,45691.0,42725.0,185.0," 1,376 ",42.0,1
UK,2023,Prepared Food,2772.0,2710.0,137.0, 806 ,45.0,0
Argentina,2020,Meat & Seafood,15465.0,18093.0,154.0, 74 ,49.0,0
Mexico,2023,Prepared Food,49852.0,49951.0,47.0, 347 ,51.0,1
Saudi Arabia,2020,Bakery Items,6579.0,6322.0,72.0, 191 ,46.0,0
Turkey,2022,Beverages,13365.0,12821.0,92.0, 719 ,46.0,0
Turkey,2023,Meat & Seafood,39005.0,34267.0,31.0, 738 ,66.0,1
South Africa,2018,Prepared Food,23281.0,25265.0,167.0, 27 ,33.0,0
Mexico,2021,Meat & Seafood,9176.0,8690.0,190.0, 903 ,50.0,0
Argentina,2019,Beverages,16087.0,14182.0,198.0, 470 ,31.0,0
Germany,2024,Bakery Items,19152.0,18330.0,127.0, 190 ,44.0,0
South Africa,2022,Meat & Seafood,47999.0,42542.0,21.0," 1,260 ",58.0,1
India,2024,Prepared Food,8691.0,9862.0,147.0, 299 ,64.0,0
Germany,2023,Bakery Items,2259.0,2390.0,114.0, 343 ,67.0,0
Italy,2018,Grains & Cereals,12852.0,14590.0,98.0, 469 ,67.0,0
Canada,2023,Dairy Products,19505.0,19106.0,76.0, 783 ,68.0,0
Argentina,2023,Bakery Items,14904.0,14035.0,38.0, 878 ,55.0,0
Canada,2023,Grains & Cereals,13959.0,11903.0,157.0, 564 ,69.0,0
UK,2022,Bakery Items,11967.0,13302.0,116.0, 916 ,32.0,0
France,2023,Meat & Seafood,30863.0,28061.0,23.0, 605 ,62.0,1
Indonesia,2018,Dairy Products,45049.0,45687.0,24.0, 341 ,61.0,1
Japan,2023,Grains & Cereals,33077.0,27056.0,33.0," 1,075 ",67.0,1
Indonesia,2020,Prepared Food,38592.0,31119.0,135.0, 257 ,59.0,1
India,2020,Meat & Seafood,37097.0,31259.0,86.0," 1,136 ",56.0,1
South Africa,2018,Grains & Cereals,18566.0,16173.0,45.0, 335 ,45.0,0
South Africa,2020,Bakery Items,4854.0,5592.0,23.0, 102 ,43.0,0
South Korea,2024,Meat & Seafood,12538.0,11004.0,75.0, 251 ,46.0,0
Indonesia,2023,Meat & Seafood,47916.0,56689.0,173.0, 499 ,60.0,1
Saudi Arabia,2019,Prepared Food,49897.0,52983.0,118.0," 1,356 ",31.0,1
Argentina,2023,Frozen Food,49280.0,49982.0,166.0, 853 ,65.0,1
Japan,2019,Dairy Products,27105.0,27799.0,165.0, 326 ,36.0,1
Japan,2022,Fruits & Vegetables,34535.0,40893.0,118.0, 936 ,62.0,1
Brazil,2019,Beverages,3822.0,3441.0,192.0, 513 ,54.0,0
Turkey,2021,Grains & Cereals,12506.0,10524.0,111.0, 210 ,69.0,0
Russia,2023,Fruits & Vegetables,1222.0,985.0,97.0, 548 ,37.0,0
Germany,2024,Prepared Food,29489.0,30542.0,138.0, 382 ,64.0,1
Russia,2020,Dairy Products,5438.0,5257.0,172.0, 852 ,69.0,0
Brazil,2018,Frozen Food,7742.0,6880.0,36.0," 1,035 ",51.0,0
USA,2024,Grains & Cereals,2469.0,2547.0,65.0," 1,205 ",34.0,0
Saudi Arabia,2023,Meat & Seafood,26025.0,29270.0,29.0, 577 ,61.0,1
Canada,2020,Fruits & Vegetables,47273.0,49943.0,52.0," 1,213 ",66.0,1
Russia,2018,Beverages,40523.0,36380.0,84.0," 1,071 ",50.0,1
Germany,2021,Prepared Food,36471.0,30125.0,124.0, 655 ,35.0,1
Mexico,2024,Bakery Items,41051.0,47577.0,128.0, 221 ,63.0,1
Brazil,2021,Fruits & Vegetables,16178.0,18651.0,26.0, 138 ,35.0,0
Turkey,2023,Prepared Food,46502.0,45443.0,110.0, 23 ,64.0,1
Japan,2021,Grains & Cereals,23807.0,28173.0,122.0," 1,202 ",46.0,1
USA,2023,Frozen Food,19711.0,18713.0,162.0," 1,232 ",42.0,0
Germany,2023,Beverages,14273.0,13616.0,46.0, 857 ,32.0,0
Germany,2023,Beverages,2267.0,2004.0,185.0, 418 ,58.0,0
South Korea,2023,Fruits & Vegetables,33973.0,38498.0,178.0, 386 ,32.0,1
Indonesia,2022,Prepared Food,10946.0,9985.0,23.0, 41 ,32.0,0
Spain,2020,Bakery Items,49676.0,41270.0,29.0, 475 ,35.0,1
South Africa,2019,Prepared Food,9255.0,9242.0,24.0, 297 ,41.0,0
UK,2024,Prepared Food,9277.0,9835.0,32.0, 670 ,49.0,0
Brazil,2018,Dairy Products,18077.0,16061.0,85.0, 75 ,52.0,0
Mexico,2018,Frozen Food,13198.0,12355.0,152.0, 687 ,49.0,0
Germany,2020,Dairy Products,28422.0,24190.0,119.0, 331 ,64.0,1
