Country,Year,Food Types, Total Waste in Tons , Food Economic Loss (Million $) , Avg Waste per Capita (Kg) , Country Population (Million) (Not Accurate) , Household Waste (%) 
Canada,2019,Frozen Food," 19,896 "," 16,559 ", 117 , 676 , 46 
Mexico,2021,Fruits & Vegetables," 25,078 "," 26,956 ", 74 , 27 , 46 
South Africa,2021,Grains & Cereals," 17,684 "," 19,954 ", 143 , 28 , 50 
China,2018,Frozen Food," 46,992 "," 43,440 ", 35 ," 1,109 ", 35 
China,2019,Prepared Food," 35,774 "," 30,261 ", 177 , 752 , 38 
France,2018,Dairy Products," 18,462 "," 18,683 ", 193 , 597 , 44 
South Africa,2022,Bakery Items," 9,085 "," 9,107 ", 114 , 641 , 57 
Mexico,2022,Dairy Products," 36,705 "," 33,000 ", 151 ," 1,135 ", 50 
Japan,2020,Prepared Food," 47,609 "," 55,269 ", 53 , 619 , 70 
USA,2023,Frozen Food," 21,314 "," 23,935 ", 163 , 482 , 62 
Russia,2022,Beverages," 40,110 "," 42,460 ", 196 , 928 , 64 
Turkey,2018,Beverages," 21,358 "," 19,293 ", 49 ," 1,271 ", 35 
Canada,2022,Dairy Products," 17,139 "," 17,799 ", 79 , 296 , 31 
Spain,2019,Frozen Food," 17,057 "," 18,974 ", 40 ," 1,288 ", 49 
South Africa,2022,Fruits & Vegetables," 44,413 "," 50,839 ", 101 , 731 , 45 
Brazil,2024,Dairy Products," 4,540 "," 4,398 ", 153 , 729 , 66 
South Africa,2022,Bakery Items," 40,534 "," 42,367 ", 198 , 426 , 46 
Argentina,2021,Fruits & Vegetables," 47,962 "," 51,338 ", 198 ," 1,360 ", 67 
South Korea,2022,Fruits & Vegetables," 36,243 "," 32,173 ", 23 ," 1,359 ", 60 
South Korea,2024,Bakery Items, 936 , 926 , 150 , 848 , 53 
Canada,2021,Fruits & Vegetables," 12,275 "," 10,685 ", 162 , 398 , 35 
South Africa,2024,Frozen Food," 2,950 "," 3,294 ", 54 , 221 , 62 
China,2023,Meat & Seafood," 15,960 "," 14,776 ", 121 ," 1,364 ", 52 
Italy,2024,Frozen Food," 41,622 "," 42,569 ", 187 , 571 , 35 
South Korea,2019,Fruits & Vegetables," 32,588 "," 27,049 ", 62 ," 1,107 ", 32 
Argentina,2022,Bakery Items," 40,690 "," 32,795 ", 52 , 884 , 55 
Mexico,2023,Meat & Seafood," 5,096 "," 6,100 ", 102 , 790 , 67 
Australia,2023,Beverages," 30,967 "," 35,081 ", 25 ," 1,109 ", 50 
Turkey,2018,Dairy Products," 44,408 "," 42,230 ", 182 ," 1,088 ", 64 
Spain,2020,Dairy Products," 6,479 "," 5,684 ", 129 ," 1,228 ", 31 
Argentina,2020,Meat & Seafood," 40,388 "," 42,434 ", 26 ," 1,142 ", 38 
Germany,2019,Fruits & Vegetables," 17,075 "," 15,502 ", 199 , 381 , 41 
Australia,2019,Prepared Food," 33,214 "," 33,722 ", 26 , 479 , 45 
Turkey,2020,Fruits & Vegetables," 37,499 "," 37,175 ", 141 ," 1,371 ", 41 
Japan,2019,Beverages," 46,618 "," 55,386 ", 187 , 277 , 59 
USA,2023,Dairy Products," 1,351 "," 1,486 ", 126 , 917 , 46 
Indonesia,2020,Fruits & Vegetables," 16,896 "," 19,415 ", 27 , 757 , 40 
India,2023,Grains & Cereals," 2,196 "," 1,810 ", 26 , 170 , 35 
France,2020,Dairy Products," 15,377 "," 14,751 ", 194 , 133 , 64 
Italy,2023,Beverages," 10,985 "," 13,178 ", 79 , 321 , 55 
Australia,2022,Beverages," 43,272 "," 44,746 ", 128 ," 1,080 ", 35 
India,2019,Grains & Cereals," 4,349 "," 5,041 ", 27 , 695 , 34 
Japan,2020,Frozen Food," 3,590 "," 3,913 ", 105 , 592 , 31 
Turkey,2022,Fruits & Vegetables," 39,588 "," 38,947 ", 185 ," 1,329 ", 57 
UK,2022,Prepared Food," 44,113 "," 47,014 ", 193 , 967 , 60 
India,2020,Grains & Cereals," 30,731 "," 33,663 ", 99 ," 1,181 ", 51 
USA,2024,Beverages," 32,047 "," 37,020 ", 103 ," 1,308 ", 33 
China,2019,Dairy Products," 24,714 "," 20,755 ", 173 ," 1,279 ", 62 
USA,2018,Prepared Food," 18,484 "," 17,391 ", 101 , 338 , 64 
South Africa,2022,Meat & Seafood," 1,474 "," 1,208 ", 104 , 828 , 32 
UK,2018,Beverages," 6,534 "," 5,654 ", 140 , 628 , 48 
Japan,2021,Fruits & Vegetables," 11,616 "," 13,502 ", 163 ," 1,013 ", 51 
France,2020,Grains & Cereals," 16,326 "," 17,607 ", 70 ," 1,357 ", 56 
India,2018,Frozen Food," 47,618 "," 39,531 ", 198 , 157 , 63 
Japan,2023,Dairy Products," 43,697 "," 35,155 ", 190 , 908 , 57 
South Korea,2020,Bakery Items," 6,408 "," 6,277 ", 187 , 731 , 64 
Russia,2021,Frozen Food," 15,289 "," 16,576 ", 198 , 827 , 37 
Canada,2023,Prepared Food," 30,183 "," 24,592 ", 116 , 695 , 51 
Germany,2022,Beverages," 49,957 "," 54,284 ", 115 , 327 , 34 
Indonesia,2022,Meat & Seafood," 15,786 "," 14,970 ", 89 ," 1,219 ", 42 
South Africa,2018,Prepared Food," 27,912 "," 29,353 ", 36 , 728 , 38 
Brazil,2019,Meat & Seafood," 30,939 "," 26,174 ", 121 , 623 , 58 
Turkey,2024,Prepared Food," 21,645 "," 18,588 ", 58 ," 1,102 ", 44 
Australia,2019,Dairy Products," 43,235 "," 44,976 ", 110 ," 1,188 ", 56 
Spain,2019,Grains & Cereals," 41,850 "," 42,853 ", 91 ," 1,170 ", 69 
USA,2021,Grains & Cereals," 42,161 "," 49,891 ", 182 , 118 , 40 
Canada,2021,Dairy Products," 44,529 "," 44,570 ", 39 , 889 , 68 
Canada,2023,Meat & Seafood," 24,769 "," 21,827 ", 115 ," 1,099 ", 39 
India,2022,Fruits & Vegetables," 25,330 "," 23,617 ", 149 , 484 , 32 
Italy,2024,Prepared Food," 8,761 "," 8,508 ", 58 ," 1,316 ", 61 
Mexico,2018,Dairy Products," 32,326 "," 30,437 ", 166 ," 1,335 ", 43 
Italy,2019,Bakery Items," 7,638 "," 9,063 ", 157 , 121 , 46 
Brazil,2023,Frozen Food," 32,325 "," 34,652 ", 160 , 387 , 48 
Mexico,2023,Beverages," 25,781 "," 22,716 ", 107 , 47 , 69 
Brazil,2019,Prepared Food," 35,814 "," 35,555 ", 112 , 974 , 55 
USA,2020,Bakery Items," 41,306 "," 46,543 ", 162 ," 1,003 ", 48 
Spain,2024,Fruits & Vegetables," 8,894 "," 8,935 ", 179 , 345 , 39 
UK,2019,Dairy Products," 16,078 "," 13,225 ", 144 , 84 , 62 
Mexico,2024,Beverages," 5,707 "," 4,809 ", 57 ," 1,043 ", 41 
Saudi Arabia,2020,Prepared Food," 37,669 "," 39,917 ", 184 , 731 , 39 
Canada,2022,Beverages," 34,548 "," 27,918 ", 176 ," 1,144 ", 61 
Mexico,2024,Fruits & Vegetables," 48,050 "," 43,048 ", 87 , 826 , 56 
Turkey,2021,Frozen Food," 9,699 "," 9,980 ", 121 ," 1,189 ", 62 
Saudi Arabia,2022,Grains & Cereals," 47,226 "," 41,252 ", 193 ," 1,385 ", 38 
South Korea,2020,Frozen Food," 24,093 "," 23,745 ", 106 , 150 , 36 
China,2019,Prepared Food," 38,763 "," 37,351 ", 147 ," 1,137 ", 56 
Russia,2024,Bakery Items," 32,597 "," 30,241 ", 146 ," 1,261 ", 55 
USA,2020,Fruits & Vegetables," 9,374 "," 7,790 ", 21 , 146 , 46 
South Korea,2021,Fruits & Vegetables," 23,808 "," 27,876 ", 145 ," 1,300 ", 51 
Russia,2019,Beverages," 34,254 "," 38,504 ", 64 , 374 , 63 
Saudi Arabia,2023,Bakery Items," 18,948 "," 17,147 ", 24 , 892 , 38 
China,2023,Bakery Items," 42,854 "," 49,498 ", 131 ," 1,041 ", 58 
Russia,2019,Grains & Cereals," 33,664 "," 26,981 ", 196 ," 1,043 ", 51 
Indonesia,2024,Grains & Cereals," 26,409 "," 26,059 ", 170 , 896 , 47 
Brazil,2018,Frozen Food," 33,671 "," 36,399 ", 184 , 637 , 32 
Australia,2019,Bakery Items," 47,078 "," 52,025 ", 177 , 773 , 54 
South Korea,2018,Bakery Items," 14,013 "," 14,906 ", 85 ," 1,044 ", 55 
Brazil,2020,Fruits & Vegetables," 7,711 "," 9,223 ", 48 , 273 , 33 
Russia,2023,Dairy Products," 49,909 "," 54,435 ", 51 , 832 , 36 
Indonesia,2020,Bakery Items," 28,738 "," 26,128 ", 159 , 684 , 53 
Russia,2020,Frozen Food," 35,066 "," 33,372 ", 69 , 963 , 50 
Spain,2023,Beverages," 24,356 "," 20,284 ", 109 , 37 , 32 
Saudi Arabia,2018,Grains & Cereals," 3,315 "," 3,957 ", 72 , 774 , 63 
USA,2021,Bakery Items," 22,115 "," 18,136 ", 82 , 281 , 58 
Italy,2020,Dairy Products," 25,312 "," 28,791 ", 156 ," 1,295 ", 59 
Brazil,2018,Grains & Cereals," 17,951 "," 17,621 ", 64 , 119 , 42 
India,2024,Prepared Food," 26,861 "," 23,559 ", 111 ," 1,277 ", 41 
Mexico,2024,Grains & Cereals," 2,223 "," 2,636 ", 22 , 129 , 68 
USA,2024,Dairy Products," 30,532 "," 27,222 ", 67 , 18 , 53 
India,2018,Fruits & Vegetables," 49,983 "," 45,828 ", 21 ," 1,006 ", 48 
China,2018,Dairy Products," 32,641 "," 33,649 ", 29 , 801 , 70 
Japan,2019,Dairy Products," 28,972 "," 24,334 ", 87 , 557 , 60 
Brazil,2019,Grains & Cereals," 42,849 "," 37,497 ", 103 , 239 , 46 
Spain,2020,Dairy Products," 20,115 "," 18,092 ", 70 , 198 , 60 
Mexico,2019,Dairy Products," 34,835 "," 33,285 ", 82 ," 1,148 ", 59 
Germany,2023,Prepared Food," 13,478 "," 14,833 ", 132 , 720 , 31 
South Korea,2021,Bakery Items," 1,128 "," 1,006 ", 95 , 440 , 33 
Italy,2022,Bakery Items," 26,687 "," 26,493 ", 100 , 397 , 51 
Brazil,2018,Bakery Items," 24,848 "," 26,455 ", 40 , 692 , 66 
Canada,2021,Dairy Products," 24,418 "," 21,610 ", 177 , 987 , 69 
Mexico,2022,Fruits & Vegetables," 26,877 "," 26,875 ", 74 ," 1,220 ", 42 
Russia,2024,Bakery Items," 43,679 "," 40,984 ", 177 , 326 , 34 
Russia,2019,Fruits & Vegetables," 21,146 "," 17,578 ", 115 , 813 , 46 
UK,2020,Bakery Items," 20,877 "," 21,824 ", 169 , 120 , 59 
Russia,2019,Fruits & Vegetables," 45,689 "," 44,285 ", 117 ," 1,177 ", 63 
Italy,2019,Prepared Food," 48,423 "," 49,051 ", 36 , 160 , 36 
Turkey,2021,Grains & Cereals," 11,214 "," 9,089 ", 124 , 455 , 49 
Italy,2021,Fruits & Vegetables," 9,424 "," 8,884 ", 164 , 81 , 67 
Spain,2024,Frozen Food," 30,509 "," 31,009 ", 125 ," 1,286 ", 32 
Brazil,2020,Frozen Food," 13,814 "," 16,464 ", 61 , 433 , 32 
Argentina,2018,Bakery Items," 14,957 "," 15,630 ", 50 , 386 , 50 
India,2020,Beverages," 41,798 "," 48,640 ", 82 ," 1,174 ", 54 
India,2018,Frozen Food," 40,479 "," 33,379 ", 185 ," 1,240 ", 31 
Italy,2023,Prepared Food," 15,982 "," 19,044 ", 191 ," 1,338 ", 42 
Germany,2023,Frozen Food," 11,184 "," 12,986 ", 180 ," 1,154 ", 66 
Japan,2023,Dairy Products," 23,379 "," 20,570 ", 141 , 580 , 60 
Russia,2020,Beverages," 40,775 "," 34,379 ", 83 , 587 , 52 
Spain,2021,Fruits & Vegetables," 47,976 "," 45,894 ", 104 ," 1,074 ", 41 
Spain,2021,Grains & Cereals," 2,735 "," 2,579 ", 139 , 440 , 57 
Spain,2019,Beverages," 37,902 "," 35,253 ", 180 , 131 , 60 
USA,2021,Fruits & Vegetables," 27,982 "," 25,008 ", 87 , 979 , 38 
South Korea,2018,Grains & Cereals," 19,073 "," 20,966 ", 78 ," 1,329 ", 70 
Australia,2022,Grains & Cereals," 42,604 "," 42,109 ", 183 , 685 , 56 
Italy,2019,Grains & Cereals," 15,858 "," 15,350 ", 114 , 455 , 35 
Mexico,2024,Dairy Products," 40,125 "," 33,317 ", 111 , 918 , 56 
Indonesia,2021,Frozen Food," 8,343 "," 6,933 ", 122 , 883 , 68 
Japan,2019,Beverages," 32,754 "," 36,814 ", 80 , 702 , 43 
South Africa,2021,Meat & Seafood," 32,082 "," 34,030 ", 32 , 232 , 34 
Spain,2024,Prepared Food," 33,758 "," 37,399 ", 82 , 116 , 58 
Italy,2019,Bakery Items," 13,881 "," 14,467 ", 96 ," 1,226 ", 65 
Mexico,2020,Dairy Products," 33,048 "," 35,896 ", 119 , 359 , 62 
Italy,2022,Prepared Food," 37,308 "," 36,947 ", 118 , 874 , 32 
Argentina,2023,Prepared Food," 42,636 "," 48,448 ", 33 , 340 , 34 
Australia,2020,Prepared Food," 3,266 "," 3,538 ", 45 , 522 , 64 
Spain,2023,Dairy Products," 10,056 "," 10,564 ", 46 ," 1,079 ", 66 
Italy,2022,Prepared Food," 28,613 "," 33,930 ", 172 , 478 , 44 
Turkey,2024,Beverages," 4,702 "," 4,546 ", 199 , 374 , 60 
Japan,2024,Bakery Items," 43,214 "," 35,273 ", 128 , 57 , 50 
Brazil,2021,Meat & Seafood," 17,280 "," 19,486 ", 24 , 468 , 69 
South Korea,2019,Fruits & Vegetables," 7,440 "," 6,976 ", 66 , 924 , 45 
France,2024,Dairy Products," 36,880 "," 39,029 ", 32 , 426 , 44 
Germany,2018,Bakery Items," 10,122 "," 8,555 ", 184 , 638 , 65 
Japan,2022,Beverages," 44,883 "," 51,489 ", 84 ," 1,024 ", 53 
USA,2021,Meat & Seafood," 29,313 "," 28,557 ", 152 , 296 , 63 
Italy,2019,Dairy Products," 49,770 "," 55,385 ", 192 , 410 , 58 
Spain,2023,Grains & Cereals," 39,659 "," 38,533 ", 107 , 653 , 36 
Canada,2024,Prepared Food," 48,831 "," 45,814 ", 184 , 241 , 35 
Italy,2018,Dairy Products," 14,875 "," 13,837 ", 92 ," 1,044 ", 43 
UK,2020,Beverages, 808 , 945 , 92 , 616 , 67 
Brazil,2024,Grains & Cereals," 12,092 "," 10,878 ", 74 , 359 , 44 
South Korea,2018,Bakery Items, 814 , 863 , 41 ," 1,303 ", 61 
Australia,2018,Bakery Items," 38,681 "," 42,893 ", 77 , 94 , 33 
USA,2018,Prepared Food," 11,299 "," 9,437 ", 28 ," 1,154 ", 39 
Germany,2022,Prepared Food," 47,979 "," 48,842 ", 114 , 112 , 59 
Turkey,2024,Fruits & Vegetables," 30,041 "," 35,061 ", 70 , 852 , 61 
Spain,2020,Prepared Food," 30,737 "," 33,989 ", 110 , 408 , 32 
Indonesia,2024,Frozen Food," 43,684 "," 50,496 ", 89 , 251 , 67 
USA,2024,Fruits & Vegetables," 43,881 "," 35,414 ", 108 ," 1,097 ", 57 
Turkey,2024,Bakery Items," 32,356 "," 32,170 ", 153 , 743 , 35 
South Africa,2023,Fruits & Vegetables," 27,944 "," 23,988 ", 188 , 621 , 32 
France,2021,Prepared Food," 10,978 "," 11,812 ", 88 , 157 , 48 
Mexico,2022,Beverages," 38,332 "," 35,162 ", 33 ," 1,344 ", 61 
Brazil,2019,Bakery Items," 10,931 "," 10,445 ", 137 ," 1,078 ", 41 
Russia,2020,Prepared Food," 48,264 "," 43,540 ", 142 , 243 , 60 
Canada,2023,Fruits & Vegetables," 44,553 "," 51,188 ", 45 , 281 , 34 
Spain,2020,Fruits & Vegetables," 34,268 "," 29,301 ", 109 , 63 , 61 
Italy,2018,Bakery Items," 43,714 "," 49,968 ", 153 , 487 , 32 
South Korea,2018,Prepared Food," 23,126 "," 22,325 ", 96 ," 1,353 ", 35 
Japan,2018,Meat & Seafood," 19,376 "," 20,946 ", 29 , 771 , 68 
USA,2022,Grains & Cereals," 4,430 "," 5,035 ", 100 , 978 , 44 
Australia,2024,Beverages," 15,628 "," 13,532 ", 56 ," 1,002 ", 37 
Australia,2021,Meat & Seafood," 23,064 "," 23,467 ", 109 ," 1,008 ", 49 
Indonesia,2020,Grains & Cereals," 20,249 "," 18,435 ", 105 , 329 , 41 
Canada,2021,Beverages," 29,725 "," 25,215 ", 193 , 705 , 50 
France,2020,Fruits & Vegetables," 18,663 "," 18,866 ", 183 , 904 , 48 
South Africa,2023,Fruits & Vegetables," 23,762 "," 22,927 ", 90 , 726 , 44 
Russia,2024,Bakery Items," 49,583 "," 41,007 ", 161 , 411 , 51 
USA,2020,Dairy Products," 48,894 "," 41,176 ", 187 , 47 , 60 
Brazil,2020,Beverages," 31,927 "," 26,501 ", 38 ," 1,059 ", 43 
Canada,2022,Dairy Products," 48,969 "," 47,045 ", 174 , 767 , 52 
South Korea,2021,Bakery Items," 22,214 "," 21,457 ", 100 , 161 , 33 
China,2024,Dairy Products," 38,493 "," 35,958 ", 141 , 563 , 35 
China,2019,Bakery Items," 23,737 "," 28,424 ", 72 , 891 , 68 
France,2019,Meat & Seafood," 25,103 "," 20,757 ", 72 , 877 , 33 
South Africa,2021,Meat & Seafood," 39,327 "," 37,770 ", 119 , 62 , 33 
South Korea,2022,Meat & Seafood," 19,779 "," 17,597 ", 158 , 252 , 39 
Russia,2022,Meat & Seafood," 42,079 "," 35,470 ", 23 ," 1,353 ", 43 
India,2023,Bakery Items," 16,867 "," 15,112 ", 47 ," 1,025 ", 59 
Saudi Arabia,2018,Meat & Seafood," 43,902 "," 50,029 ", 131 ," 1,029 ", 31 
Japan,2021,Beverages," 49,873 "," 41,839 ", 110 , 69 , 52 
Argentina,2022,Beverages," 2,482 "," 2,327 ", 156 , 128 , 57 
Japan,2021,Beverages," 38,959 "," 35,391 ", 178 , 512 , 33 
Saudi Arabia,2020,Beverages," 15,227 "," 12,197 ", 61 ," 1,207 ", 59 
Argentina,2024,Frozen Food," 18,555 "," 19,321 ", 171 , 609 , 49 
Indonesia,2023,Prepared Food," 13,409 "," 13,556 ", 127 , 556 , 59 
USA,2022,Bakery Items," 34,496 "," 33,564 ", 115 , 198 , 68 
Australia,2020,Fruits & Vegetables," 23,928 "," 26,048 ", 37 , 209 , 46 
India,2022,Prepared Food, 755 , 856 , 177 , 99 , 59 
Russia,2022,Frozen Food," 7,876 "," 7,870 ", 198 ," 1,113 ", 44 
China,2024,Beverages," 39,979 "," 45,547 ", 58 , 615 , 60 
China,2019,Frozen Food," 27,302 "," 26,592 ", 122 ," 1,136 ", 40 
Turkey,2024,Prepared Food," 25,806 "," 20,723 ", 116 , 230 , 43 
Australia,2018,Prepared Food," 29,187 "," 29,544 ", 130 ," 1,292 ", 54 
UK,2019,Meat & Seafood," 36,140 "," 39,445 ", 138 , 285 , 46 
Indonesia,2021,Fruits & Vegetables," 29,254 "," 32,372 ", 166 , 476 , 60 
South Korea,2020,Bakery Items," 5,358 "," 4,466 ", 86 ," 1,059 ", 48 
Canada,2022,Beverages," 26,201 "," 29,637 ", 46 ," 1,238 ", 58 
Turkey,2024,Grains & Cereals," 4,939 "," 4,711 ", 45 , 944 , 61 
Russia,2020,Meat & Seafood," 43,861 "," 39,487 ", 43 , 751 , 53 
Italy,2023,Frozen Food," 1,834 "," 2,055 ", 65 ," 1,210 ", 57 
South Korea,2021,Dairy Products," 5,378 "," 5,467 ", 168 , 675 , 57 
South Korea,2024,Beverages," 6,142 "," 6,737 ", 192 , 599 , 38 
Brazil,2019,Frozen Food," 46,779 "," 45,309 ", 122 ," 1,251 ", 40 
USA,2018,Meat & Seafood," 6,739 "," 6,362 ", 38 , 363 , 47 
Italy,2023,Grains & Cereals," 4,160 "," 4,535 ", 36 ," 1,361 ", 48 
Italy,2024,Prepared Food," 18,218 "," 16,015 ", 155 , 105 , 57 
Turkey,2021,Bakery Items," 8,596 "," 9,306 ", 136 , 46 , 63 
Japan,2019,Bakery Items," 12,460 "," 11,211 ", 63 , 476 , 60 
Brazil,2023,Meat & Seafood," 2,798 "," 2,472 ", 59 , 787 , 48 
USA,2018,Grains & Cereals," 47,908 "," 40,900 ", 82 ," 1,102 ", 46 
Italy,2024,Meat & Seafood," 30,967 "," 26,421 ", 85 , 334 , 48 
Brazil,2024,Dairy Products," 11,294 "," 12,771 ", 96 ," 1,132 ", 68 
Mexico,2022,Frozen Food," 47,287 "," 41,615 ", 32 ," 1,334 ", 47 
South Korea,2020,Grains & Cereals," 14,869 "," 16,316 ", 107 ," 1,123 ", 49 
South Africa,2021,Frozen Food," 26,109 "," 24,989 ", 174 , 989 , 36 
Germany,2020,Bakery Items," 37,792 "," 32,403 ", 20 , 985 , 66 
Saudi Arabia,2020,Prepared Food," 29,777 "," 25,132 ", 121 , 252 , 60 
China,2021,Grains & Cereals," 33,848 "," 27,732 ", 129 , 753 , 54 
Spain,2020,Grains & Cereals," 35,478 "," 32,052 ", 63 ," 1,342 ", 47 
France,2020,Grains & Cereals," 35,114 "," 33,800 ", 122 , 525 , 43 
Saudi Arabia,2024,Dairy Products," 10,845 "," 11,493 ", 137 , 253 , 64 
Spain,2024,Grains & Cereals," 39,591 "," 40,290 ", 92 , 211 , 51 
Spain,2021,Prepared Food," 33,520 "," 37,140 ", 79 , 577 , 41 
USA,2019,Fruits & Vegetables," 31,286 "," 30,230 ", 176 , 746 , 37 
China,2018,Meat & Seafood," 34,408 "," 32,251 ", 130 ," 1,092 ", 45 
UK,2021,Bakery Items," 15,441 "," 15,527 ", 162 , 317 , 32 
Japan,2018,Beverages," 10,771 "," 11,922 ", 131 , 204 , 43 
Canada,2018,Beverages," 4,274 "," 4,601 ", 161 , 125 , 31 
Japan,2018,Beverages," 14,961 "," 16,460 ", 95 ," 1,185 ", 47 
France,2021,Beverages," 1,313 "," 1,495 ", 90 , 497 , 45 
UK,2024,Fruits & Vegetables," 25,000 "," 24,376 ", 64 ," 1,312 ", 38 
France,2023,Bakery Items," 19,861 "," 18,002 ", 197 ," 1,282 ", 49 
India,2018,Grains & Cereals," 10,530 "," 10,208 ", 124 ," 1,290 ", 42 
France,2024,Fruits & Vegetables," 10,476 "," 11,197 ", 130 , 543 , 39 
South Africa,2019,Bakery Items," 13,316 "," 11,648 ", 145 , 898 , 32 
Australia,2023,Fruits & Vegetables," 45,663 "," 52,306 ", 27 , 522 , 60 
Italy,2020,Prepared Food," 4,143 "," 4,272 ", 110 , 341 , 40 
USA,2020,Frozen Food," 5,600 "," 6,452 ", 33 , 633 , 53 
USA,2018,Meat & Seafood," 36,810 "," 38,565 ", 55 ," 1,261 ", 51 
Argentina,2023,Grains & Cereals," 8,412 "," 8,059 ", 73 , 476 , 52 
Saudi Arabia,2024,Grains & Cereals," 23,331 "," 24,991 ", 105 , 135 , 34 
Saudi Arabia,2019,Beverages," 15,867 "," 16,359 ", 160 , 605 , 31 
Germany,2024,Frozen Food," 33,825 "," 37,275 ", 152 , 608 , 42 
Russia,2021,Bakery Items," 31,018 "," 31,062 ", 70 ," 1,224 ", 38 
Indonesia,2024,Meat & Seafood," 33,444 "," 26,895 ", 118 , 170 , 68 
Russia,2023,Prepared Food," 40,031 "," 42,682 ", 62 ," 1,203 ", 55 
Argentina,2024,Beverages," 25,339 "," 28,774 ", 62 , 698 , 67 
UK,2022,Prepared Food," 4,739 "," 5,043 ", 99 , 630 , 38 
Australia,2021,Bakery Items," 41,478 "," 37,213 ", 138 ," 1,236 ", 40 
Canada,2022,Fruits & Vegetables," 20,168 "," 23,301 ", 151 , 941 , 68 
USA,2023,Beverages," 35,957 "," 41,729 ", 199 , 224 , 66 
China,2023,Frozen Food," 34,737 "," 36,899 ", 156 , 347 , 37 
Brazil,2023,Meat & Seafood, 832 , 735 , 98 , 719 , 44 
Spain,2020,Dairy Products," 8,578 "," 6,977 ", 43 ," 1,171 ", 51 
Turkey,2018,Grains & Cereals," 19,267 "," 17,842 ", 193 , 179 , 56 
Australia,2024,Grains & Cereals," 7,891 "," 9,058 ", 116 , 812 , 39 
Argentina,2021,Prepared Food," 30,048 "," 25,328 ", 138 , 750 , 64 
India,2022,Bakery Items," 14,091 "," 13,971 ", 168 , 900 , 49 
Brazil,2024,Prepared Food," 8,846 "," 8,869 ", 131 ," 1,134 ", 35 
India,2018,Bakery Items," 37,249 "," 38,981 ", 144 , 535 , 55 
Turkey,2020,Meat & Seafood," 25,693 "," 29,527 ", 171 , 162 , 36 
Saudi Arabia,2023,Bakery Items," 46,536 "," 48,536 ", 153 , 821 , 50 
UK,2020,Beverages," 39,918 "," 37,024 ", 108 ," 1,066 ", 47 
Canada,2020,Frozen Food," 49,886 "," 43,032 ", 39 , 82 , 37 
USA,2024,Grains & Cereals," 17,934 "," 14,469 ", 165 , 743 , 66 
Spain,2021,Frozen Food," 32,179 "," 36,712 ", 35 , 505 , 30 
USA,2021,Prepared Food," 20,963 "," 17,784 ", 109 ," 1,107 ", 37 
Spain,2022,Prepared Food," 38,550 "," 39,133 ", 93 , 850 , 60 
China,2022,Fruits & Vegetables," 43,182 "," 46,396 ", 55 , 999 , 52 
South Africa,2023,Fruits & Vegetables," 47,214 "," 55,321 ", 20 , 997 , 66 
Indonesia,2022,Beverages," 47,090 "," 51,629 ", 120 , 422 , 67 
India,2024,Frozen Food," 17,774 "," 14,458 ", 168 , 197 , 35 
Germany,2020,Fruits & Vegetables," 45,649 "," 48,828 ", 58 , 626 , 65 
Germany,2023,Prepared Food," 9,619 "," 7,756 ", 34 , 76 , 37 
Germany,2020,Meat & Seafood," 28,073 "," 27,109 ", 146 , 119 , 33 
Germany,2022,Bakery Items," 23,180 "," 25,727 ", 172 ," 1,385 ", 38 
China,2019,Frozen Food," 35,646 "," 40,440 ", 53 ," 1,070 ", 41 
UK,2019,Beverages, 696 , 559 , 142 , 222 , 67 
Italy,2019,Bakery Items," 7,678 "," 6,436 ", 119 ," 1,180 ", 43 
Mexico,2019,Prepared Food," 28,704 "," 31,558 ", 165 ," 1,064 ", 49 
China,2023,Bakery Items," 2,853 "," 2,648 ", 47 , 930 , 46 
South Korea,2018,Beverages," 48,048 "," 56,577 ", 52 ," 1,377 ", 64 
Russia,2023,Beverages," 1,698 "," 1,700 ", 160 , 67 , 63 
India,2024,Frozen Food," 10,540 "," 9,457 ", 135 ," 1,013 ", 59 
Japan,2019,Frozen Food," 22,477 "," 23,403 ", 132 , 583 , 67 
Germany,2021,Fruits & Vegetables," 39,109 "," 34,426 ", 52 , 395 , 57 
Saudi Arabia,2020,Bakery Items," 16,862 "," 13,640 ", 58 , 673 , 52 
Argentina,2021,Prepared Food," 24,651 "," 25,457 ", 30 , 491 , 53 
Canada,2021,Dairy Products," 7,749 "," 8,267 ", 177 ," 1,071 ", 59 
Indonesia,2022,Beverages," 13,678 "," 11,905 ", 27 , 236 , 54 
Brazil,2018,Prepared Food," 16,389 "," 14,527 ", 164 , 266 , 61 
Russia,2021,Prepared Food," 25,317 "," 25,586 ", 35 , 219 , 44 
China,2021,Meat & Seafood," 9,401 "," 10,406 ", 72 , 483 , 35 
USA,2019,Dairy Products," 43,100 "," 43,889 ", 188 , 791 , 67 
France,2019,Beverages," 23,278 "," 18,635 ", 29 , 279 , 56 
South Africa,2024,Beverages," 35,210 "," 33,668 ", 126 , 487 , 64 
Germany,2020,Grains & Cereals," 32,182 "," 31,670 ", 60 , 135 , 36 
India,2018,Grains & Cereals," 39,230 "," 43,918 ", 108 , 308 , 67 
Italy,2020,Fruits & Vegetables," 22,188 "," 19,991 ", 57 , 49 , 54 
India,2024,Fruits & Vegetables," 32,340 "," 31,003 ", 171 , 395 , 50 
Turkey,2019,Dairy Products," 10,278 "," 10,228 ", 123 ," 1,394 ", 59 
